City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Znin,PL,52.85,17.72,75.0,53,20,13.87,few clouds
261,Dolores,AR,-36.31,-57.68,59.16,58,97,14.88,overcast clouds
262,Monroe,US,43.15,-77.68,75.99,88,75,8.05,broken clouds
263,Baghdad,IQ,33.34,44.4,111.2,13,0,18.34,clear sky
264,Cuamba,MZ,-14.8,36.54,92.53,17,97,5.91,overcast clouds
265,Kapoeta,SS,4.77,33.59,87.3,44,58,8.52,broken clouds
266,Biak,ID,-0.91,122.88,77.18,76,90,6.76,overcast clouds
267,Maine-Soroa,NE,13.21,12.02,91.33,45,22,10.8,few clouds
268,Qui Nhon,VN,13.77,109.23,81.79,82,71,4.56,broken clouds
269,Pyay,MM,18.82,95.22,79.66,86,100,5.64,overcast clouds
270,Honningsvag,NO,70.98,25.97,47.88,74,37,7.63,scattered clouds
271,Luderitz,NA,-26.65,15.16,59.65,53,37,22.55,scattered clouds
272,Chokurdakh,RU,70.63,147.92,38.55,92,100,4.85,overcast clouds
273,Wenling,CN,28.37,121.36,86.0,87,100,0.67,overcast clouds
274,Bilibino,RU,68.05,166.44,44.13,82,100,5.88,overcast clouds
275,Coxim,BR,-18.51,-54.76,95.65,11,0,8.25,clear sky
276,Kaitangata,NZ,-46.28,169.85,53.01,70,100,14.0,overcast clouds
277,Itupiranga,BR,-5.13,-49.33,87.8,66,40,4.7,scattered clouds
278,Iranshahr,IR,27.2,60.68,105.8,6,31,16.11,scattered clouds
279,Sao Gotardo,BR,-19.31,-46.05,80.01,49,0,5.99,clear sky
280,Urubamba,PE,-13.3,-72.12,55.4,47,40,4.12,scattered clouds
281,Clyde River,CA,70.47,-68.59,48.2,81,20,17.22,few clouds
282,Shubarkuduk,KZ,49.14,56.49,88.27,18,82,8.3,broken clouds
283,Praia Da Vitoria,PT,38.73,-27.07,80.6,78,40,14.94,scattered clouds
284,Cabo San Lucas,MX,22.89,-109.91,79.0,92,100,1.99,moderate rain
285,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,65,20,9.17,few clouds
286,Zhangye,CN,38.93,100.45,56.16,75,99,11.63,light rain
287,Berea,US,41.37,-81.85,72.0,88,90,13.87,overcast clouds
288,Brookhaven,US,31.58,-90.44,81.0,96,14,3.85,few clouds
289,Tam Ky,VN,15.57,108.48,80.6,78,20,5.82,few clouds
290,Mogadouro,PT,41.34,-6.71,71.01,38,87,10.0,overcast clouds
291,Toora-Khem,RU,52.47,96.11,50.25,92,100,3.31,light rain
292,Mandurah,AU,-32.55,115.7,52.0,67,0,10.29,clear sky
293,Nzerekore,GN,7.76,-8.82,76.53,88,84,4.99,moderate rain
294,Balsta,SE,59.57,17.53,59.0,87,100,10.29,light rain
295,Gat,IL,31.61,34.76,90.0,48,0,1.99,clear sky
296,Saint George,US,37.1,-113.58,82.4,21,1,5.82,clear sky
297,Gumla,IN,23.05,84.55,74.53,90,2,6.6,clear sky
298,Vestmannaeyjar,IS,63.44,-20.27,53.6,76,40,6.93,scattered clouds
299,Olinda,BR,-8.01,-34.86,84.2,70,40,11.41,scattered clouds
300,Abonnema,NG,4.71,6.79,84.2,70,75,10.29,thunderstorm
301,Port Elizabeth,ZA,-33.92,25.57,57.2,54,20,25.28,few clouds
302,Husavik,IS,66.04,-17.34,53.6,71,75,12.75,broken clouds
303,Avera,US,33.19,-82.53,82.4,83,40,11.41,scattered clouds
304,Bethel,US,41.37,-73.41,72.0,94,90,5.82,moderate rain
305,Ponta Delgada,PT,37.73,-25.67,77.0,88,20,18.34,few clouds
306,Ust-Shonosha,RU,61.15,41.34,59.68,92,100,2.75,light rain
307,Najran,SA,17.49,44.13,98.6,14,40,9.17,scattered clouds
308,Oyama,JP,36.3,139.8,89.01,88,75,8.05,broken clouds
309,Dubbo,AU,-32.25,148.62,44.6,93,0,11.41,clear sky
310,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,44.6,100,40,2.24,fog
311,Edeia,BR,-17.34,-49.93,87.49,22,0,7.99,clear sky
312,Puerto Del Rosario,ES,28.5,-13.86,77.0,83,75,19.46,broken clouds
313,Koping,SE,59.51,15.99,59.0,87,100,11.41,drizzle
314,Opuwo,NA,-18.06,13.84,82.09,14,0,16.37,clear sky
315,Koumac,NC,-20.57,164.28,66.13,78,81,18.07,broken clouds
316,Saint Anthony,US,45.02,-93.22,66.0,63,1,6.93,clear sky
317,Hihya,EG,30.67,31.59,93.2,44,40,10.29,scattered clouds
318,Teknaf,BD,20.86,92.31,81.37,87,59,5.32,broken clouds
319,Sampit,ID,-2.53,112.95,76.71,84,5,4.03,clear sky
320,Saint-Paul,RE,-21.01,55.27,73.4,69,21,21.92,few clouds
321,Sawai Madhopur,IN,25.98,76.37,83.41,75,45,8.81,light rain
322,Seymchan,RU,62.88,152.43,42.1,73,99,7.02,overcast clouds
323,Coihaique,CL,-45.58,-72.07,35.6,64,40,3.36,scattered clouds
324,Ambalema,CO,4.78,-74.76,59.0,62,75,4.7,broken clouds
325,Locri,IT,38.24,16.26,88.0,66,0,17.22,clear sky
326,Castro,BR,-24.79,-50.01,76.01,48,0,6.73,clear sky
327,Siyabuswa,ZA,-25.11,29.04,85.84,19,99,18.16,overcast clouds
328,Vao,NC,-22.67,167.48,67.48,74,10,17.49,clear sky
329,Quatre Cocos,MU,-20.21,57.76,73.0,83,75,12.75,shower rain
330,Isangel,VU,-19.55,169.27,73.31,86,96,20.09,overcast clouds
331,Cabedelo,BR,-6.98,-34.83,77.0,83,75,11.41,broken clouds
332,San Cristobal,VE,7.77,-72.22,78.8,74,40,2.24,scattered clouds
333,Tautira,PF,-17.73,-149.15,73.4,83,20,3.36,few clouds
334,Margate,GB,51.38,1.39,61.0,80,67,8.01,light rain
335,Jackson,US,42.42,-122.83,59.0,62,1,3.36,clear sky
336,Joshimath,IN,30.57,79.57,66.52,59,49,0.83,light rain
337,Saldanha,ZA,-33.01,17.94,53.6,46,42,16.11,scattered clouds
338,Buchanan,LR,5.88,-10.05,79.14,82,88,14.85,light rain
339,Grootfontein,NA,-19.57,18.12,81.27,18,93,18.52,overcast clouds
340,Gazojak,TM,41.19,61.4,90.43,12,0,13.27,clear sky
341,Burnie,AU,-41.07,145.92,46.0,89,1,1.32,clear sky
342,Ajuchitlan,MX,20.72,-100.02,62.55,87,33,2.64,scattered clouds
343,Kargil,IN,34.57,76.1,64.62,28,64,8.3,broken clouds
344,Zolochiv,UA,49.81,24.89,84.2,45,89,11.18,overcast clouds
345,Thinadhoo,MV,0.53,72.93,83.84,70,99,9.64,overcast clouds
346,Ixtapa,MX,20.7,-105.2,78.01,88,90,3.36,overcast clouds
347,Port Hueneme,US,34.15,-119.2,62.6,87,90,5.12,overcast clouds
348,Gorontalo,ID,0.54,123.06,76.03,78,100,3.4,overcast clouds
349,Marrakesh,MA,31.63,-8.01,86.0,35,20,8.05,few clouds
350,Cananea,MX,30.95,-110.3,72.0,61,61,1.01,light rain
351,Tiznit,MA,29.58,-9.5,80.64,42,0,11.07,clear sky
352,Kolokani,ML,13.57,-8.03,82.18,73,60,11.65,broken clouds
353,Nichinan,JP,31.6,131.37,80.01,83,0,1.99,clear sky
354,Linxia,CN,35.6,103.21,51.91,86,100,2.73,moderate rain
355,Nabire,ID,-3.37,135.48,76.1,91,100,5.55,moderate rain
356,Mukhen,RU,48.1,136.1,59.95,69,100,5.5,overcast clouds
357,Port Macquarie,AU,-31.43,152.92,46.99,93,6,5.3,clear sky
358,Jumla,NP,29.27,82.18,62.02,71,72,0.45,broken clouds
359,Kardymovo,RU,54.89,32.43,64.31,70,83,6.51,broken clouds
360,Yumen,CN,40.28,97.2,61.25,44,41,6.49,scattered clouds
